tt,ID,num1,num2,num_out1,num_out2
bbd,73233,14,14,11,2
bbd,35727,50,50,8,20
bbd,34442,292,158,125,54
bbd,70209,40,45,31,7
bbd,33903,15,17,6,1
bbd,26684,44,45,17,9
bbd,43715,437,184,17,30
bbd,943,15,15,3,11
bbd,69,45,45,18,4
bbd,66637,30,31,9,0
bbd,31616,16,18,7,3
bbd,31578,10,16,7,3
bbd,30616,120,80,30,7
bbd,823,79,64,37,13
bbd,30695,83,75,31,10
bbd,34020,25,25,17,6
bbd,35591,149,139,44,11
bbd,9830,55,117,25,95
bbd,30643,89,143,36,19
bbd,45362,37,22,26,2
bbd,34126,140,120,45,17
bbd,33896,10,10,9,0
bbd,762,22,21,8,0
bbd,34137,36,35,27,16
bbd,35048,108,161,58,1
bbd,65819,86,183,44,143
bbd,35002,75,25,23,17
bbd,24838,100,100,72,42
bbd,35024,18,27,1,4
bbd,674,8,8,2,6
bbd,1302,31,33,17,20
bbd,23434,50,50,12,3
bbd,58335,29,34,13,0
bbd,30219,35,32,15,25
bbd,31717,50,51,26,0
bbd,35588,74,66,20,8
bbd,34443,79,79,29,54
bbd,35779,22,22,8,17
bbd,35089,64,65,23,36
bbd,60784,85,280,54,28
bbd,43750,30,28,18,5
bbd,34906,64,68,2,0
bbd,35767,38,15,16,1
bbd,26279,57,15,52,1
bbd,791,112,113,54,34
bbd,35747,57,26,31,13
bbd,68091,58,43,46,8
bbd,30945,49,72,13,56
bbd,43635,62,32,50,18
bbd,69413,50,50,44,30
bbd,34925,27,8,16,0
bbd,3228,139,136,64,105
bbd,6894,141,153,34,59
bbd,16898,50,20,9,0
bbd,27569,25,25,5,15
bbd,45804,30,30,12,3
bbd,23065,156,170,23,7
bbd,34770,76,75,28,6
bbd,24930,18,18,3,11
bbd,35210,27,27,18,7
bbd,27398,30,100,2,42
bbd,35618,49,32,20,2
bbd,43614,173,98,41,4
bbd,40,23,23,19,13
bbd,44146,21,16,13,0
bbd,578,80,96,5,36
bbd,17852,82,218,4,86
bbd,16174,67,97,31,68
bbd,2978,93,253,32,56
bbd,2332,476,70,304,55
bbd,35008,358,729,43,50
bbd,6577,19,105,9,68
bbd,35838,61,59,13,3
bbd,35847,43,51,0,18
bbd,21436,31,31,4,11
bbd,48843,100,29,12,16
bbd,27543,73,45,51,21
bbd,35081,49,49,23,11
bbd,28003,22,18,14,0
bbd,3246,40,34,18,3
bbd,31539,34,34,10,1
bbd,35791,50,51,6,25
bbd,59422,28,29,5,18
bbd,34807,70,55,54,34
bbd,69809,31,61,17,4
bbd,34240,145,158,25,15
bbd,24008,174,167,3,17
bbd,19604,57,57,2,14
bbd,41142,62,48,20,6
bbd,35071,303,396,84,59
bbd,34132,49,47,10,1
bbd,66007,20,9,6,9
bbd,22797,74,67,68,36
bbd,1112,84,92,17,6
bbd,34688,36,33,6,13
bbd,34187,25,29,18,11
bbd,888,141,59,135,48
bbd,44929,178,197,19,5
bbd,39623,25,37,7,27
bbd,31326,8,3,5,0
bbd,35004,153,1059,42,776
bbd,30670,44,43,16,6
bbd,30266,224,487,104,302
bbd,527,4308,4308,2391,1800
bbd,34369,41,29,19,3
bbd,34861,24,23,12,3
bbd,44353,50,144,34,70
bbd,34151,73,21,23,0
bbd,31080,135,1686,10,33
bbd,34852,107,66,56,53
bbd,30687,35,49,10,27
bbd,31327,91,109,42,58
bbd,66731,178,197,29,13
bbd,35585,142,142,53,30
bbd,644,731,111,164,44
bbd,34471,84,70,30,9
bbd,34111,38,36,10,17
bbd,34009,38,39,35,26
bbd,654,30,20,22,3
