test,swap,msr,tt,mm,study_design,mean,median,max
chi2,1,FI,bbd,FI>0,RCT,6.673913043478261,4.0,29.0
chi2,1,FI,bbd,FI>0,Other,19.53731343283582,8.0,501.0
chi2,1,FI,bbd,all,RCT,5.163636363636364,3.0,29.0
chi2,1,FI,bbd,all,Other,18.253521126760564,8.0,501.0
chi2,1,FI,phn,FI>0,RCT,4.371428571428571,3.0,31.0
chi2,1,FI,phn,FI>0,Other,13.051948051948052,5.0,113.0
chi2,1,FI,phn,all,RCT,3.891891891891892,3.0,31.0
chi2,1,FI,phn,all,Other,10.532608695652174,3.0,113.0
chi2,1,FQ,bbd,FI>0,RCT,0.08454863986029655,0.0689519306540583,0.3
chi2,1,FQ,bbd,FI>0,Other,0.07892371892039492,0.06329113924050633,0.4722222222222222
chi2,1,FQ,bbd,all,RCT,0.06440750226846496,0.05,0.3
chi2,1,FQ,bbd,all,Other,0.07238137260612001,0.05814763231197772,0.4722222222222222
chi2,1,FQ,phn,FI>0,RCT,0.04781422021893277,0.03636363636363636,0.13777777777777778
chi2,1,FQ,phn,FI>0,Other,0.06382120773185719,0.03439153439153439,0.26
chi2,1,FQ,phn,all,RCT,0.04315500146642319,0.03,0.13777777777777778
chi2,1,FQ,phn,all,Other,0.04800617101317406,0.027494331065759638,0.26
chi2,2,FI,bbd,FI>0,RCT,6.630434782608695,4.0,38.0
chi2,2,FI,bbd,FI>0,Other,25.402985074626866,7.0,501.0
chi2,2,FI,bbd,all,RCT,5.127272727272727,3.0,38.0
chi2,2,FI,bbd,all,Other,23.788732394366196,7.0,501.0
chi2,2,FI,phn,FI>0,RCT,5.685714285714286,3.0,69.0
chi2,2,FI,phn,FI>0,Other,22.662337662337663,4.0,770.0
chi2,2,FI,phn,all,RCT,5.135135135135135,2.0,69.0
chi2,2,FI,phn,all,Other,18.57608695652174,3.0,770.0
chi2,2,FQ,bbd,FI>0,RCT,0.0754145974234703,0.06316489361702127,0.25
chi2,2,FQ,bbd,FI>0,Other,0.0739233036701117,0.05063291139240506,0.33003300330033003
chi2,2,FQ,bbd,all,RCT,0.05676812132130118,0.053445850914205346,0.25
chi2,2,FQ,bbd,all,Other,0.06766267089106404,0.04411764705882353,0.33003300330033003
chi2,2,FQ,phn,FI>0,RCT,0.05527828734992184,0.036036036036036036,0.30666666666666664
chi2,2,FQ,phn,FI>0,Other,0.06604746354651866,0.03439153439153439,0.5365853658536586
chi2,2,FQ,phn,all,RCT,0.050215605509250694,0.03278688524590164,0.30666666666666664
chi2,2,FQ,phn,all,Other,0.04986945033631465,0.02554819277108434,0.5365853658536586
chi2_cont,1,FI,bbd,FI>0,RCT,6.2682926829268295,4.0,28.0
chi2_cont,1,FI,bbd,FI>0,Other,19.109375,7.0,500.0
chi2_cont,1,FI,bbd,all,RCT,3.981818181818182,2.0,28.0
chi2_cont,1,FI,bbd,all,Other,16.91549295774648,6.0,500.0
chi2_cont,1,FI,phn,FI>0,RCT,4.2592592592592595,3.0,31.0
chi2_cont,1,FI,phn,FI>0,Other,14.015384615384615,6.0,112.0
chi2_cont,1,FI,phn,all,RCT,2.4864864864864864,1.0,31.0
chi2_cont,1,FI,phn,all,Other,9.130434782608695,2.0,112.0
chi2_cont,1,FQ,bbd,FI>0,RCT,0.07365117064501764,0.05555555555555555,0.25
chi2_cont,1,FQ,bbd,FI>0,Other,0.06950881163203075,0.05013759474726018,0.4305555555555556
chi2_cont,1,FQ,bbd,all,RCT,0.04310383087050975,0.03,0.25
chi2_cont,1,FQ,bbd,all,Other,0.058103655862142105,0.045454545454545456,0.4305555555555556
chi2_cont,1,FQ,phn,FI>0,RCT,0.041530071253538546,0.03125,0.13777777777777778
chi2_cont,1,FQ,phn,FI>0,Other,0.059648293270666786,0.030303030303030304,0.24
chi2_cont,1,FQ,phn,all,RCT,0.02364825678393075,0.018018018018018018,0.13777777777777778
chi2_cont,1,FQ,phn,all,Other,0.03110352513812696,0.017602304564666556,0.24
chi2_cont,2,FI,bbd,FI>0,RCT,6.341463414634147,3.0,36.0
chi2_cont,2,FI,bbd,FI>0,Other,25.28125,6.5,500.0
chi2_cont,2,FI,bbd,all,RCT,4.036363636363636,2.0,36.0
chi2_cont,2,FI,bbd,all,Other,22.47887323943662,6.0,500.0
chi2_cont,2,FI,phn,FI>0,RCT,6.0,3.0,67.0
chi2_cont,2,FI,phn,FI>0,Other,25.338461538461537,6.0,760.0
chi2_cont,2,FI,phn,all,RCT,3.7567567567567566,1.0,67.0
chi2_cont,2,FI,phn,all,Other,17.130434782608695,2.0,760.0
chi2_cont,2,FQ,bbd,FI>0,RCT,0.06607181213813641,0.05128205128205128,0.21176470588235294
chi2_cont,2,FQ,bbd,FI>0,Other,0.06764932087221726,0.04232048439365513,0.32673267326732675
chi2_cont,2,FQ,bbd,all,RCT,0.03745376361992556,0.037037037037037035,0.21176470588235294
chi2_cont,2,FQ,bbd,all,Other,0.056427495177239786,0.038461538461538464,0.32673267326732675
chi2_cont,2,FQ,phn,FI>0,RCT,0.053398191255959425,0.03333333333333333,0.29777777777777775
chi2_cont,2,FQ,phn,FI>0,Other,0.06134594788720365,0.03470031545741325,0.4634146341463415
chi2_cont,2,FQ,phn,all,RCT,0.03230877678569734,0.018018018018018018,0.29777777777777775
chi2_cont,2,FQ,phn,all,Other,0.03230295503024539,0.014031421661247392,0.4634146341463415
fisher,1,FI,bbd,FI>0,RCT,6.523809523809524,4.0,29.0
fisher,1,FI,bbd,FI>0,Other,19.640625,8.0,500.0
fisher,1,FI,bbd,all,RCT,4.345454545454546,3.0,29.0
fisher,1,FI,bbd,all,Other,17.43661971830986,7.0,500.0
fisher,1,FI,phn,FI>0,RCT,4.285714285714286,2.5,31.0
fisher,1,FI,phn,FI>0,Other,13.23611111111111,6.0,112.0
fisher,1,FI,phn,all,RCT,2.7027027027027026,2.0,31.0
fisher,1,FI,phn,all,Other,9.771739130434783,2.5,112.0
fisher,1,FQ,bbd,FI>0,RCT,0.07778006980305026,0.057628524046434496,0.25
fisher,1,FQ,bbd,FI>0,Other,0.07493072503149104,0.05823656380759445,0.4444444444444444
fisher,1,FQ,bbd,all,RCT,0.04870588387197096,0.03125,0.25
fisher,1,FQ,bbd,all,Other,0.06342089708618931,0.048327137546468404,0.4444444444444444
fisher,1,FQ,phn,FI>0,RCT,0.04309371648631052,0.032018442622950824,0.13777777777777778
fisher,1,FQ,phn,FI>0,Other,0.060625007759677385,0.030798389007344232,0.24
fisher,1,FQ,phn,all,RCT,0.026721268376746096,0.02,0.13777777777777778
fisher,1,FQ,phn,all,Other,0.038823895424896136,0.022352647352647352,0.24
fisher,2,FI,bbd,FI>0,RCT,6.5,3.0,37.0
fisher,2,FI,bbd,FI>0,Other,25.84375,7.0,500.0
fisher,2,FI,bbd,all,RCT,4.327272727272727,2.0,37.0
fisher,2,FI,bbd,all,Other,23.028169014084508,6.0,500.0
fisher,2,FI,phn,FI>0,RCT,5.964285714285714,3.0,68.0
fisher,2,FI,phn,FI>0,Other,23.416666666666668,4.0,763.0
fisher,2,FI,phn,all,RCT,3.972972972972973,1.0,68.0
fisher,2,FI,phn,all,Other,17.73913043478261,2.0,763.0
fisher,2,FQ,bbd,FI>0,RCT,0.06898756338046352,0.053797468354430375,0.2235294117647059
fisher,2,FQ,bbd,FI>0,Other,0.0716171414053988,0.04711751662971175,0.3292079207920792
fisher,2,FQ,bbd,all,RCT,0.041991606240177455,0.037037037037037035,0.2235294117647059
fisher,2,FQ,bbd,all,Other,0.06043400480351461,0.04,0.3292079207920792
fisher,2,FQ,phn,FI>0,RCT,0.05357256324597013,0.03229166666666666,0.3022222222222222
fisher,2,FQ,phn,FI>0,Other,0.06293625985633318,0.03200204813108039,0.5121951219512195
fisher,2,FQ,phn,all,RCT,0.034651206465137155,0.02,0.3022222222222222
fisher,2,FQ,phn,all,Other,0.04063270141358328,0.017174311926605505,0.5121951219512195
