tt,ID,pval,notes
bbd,674,0.0455002638963585,chi2
bbd,16898,0.0421007926209556,chi2
bbd,21436,0.0379063414334718,chi2
bbd,30660,0.0303280856300886,chi2
bbd,34240,0.0465676290321771,chi2
bbd,34688,0.0347597571801115,chi2
bbd,35856,0.0463675692695716,chi2
phn,34,0.0330292516278736,chi2
phn,410,0.0429145388952231,chi2
phn,456,0.0356120780217069,chi2
phn,496,0.0402108714518331,chi2
phn,776,0.0410612314137014,chi2
phn,904,0.0315922870825101,chi2
phn,1049,0.0489681791052141,chi2
phn,1273,0.0433761524774602,chi2
phn,1473,0.0307535612592745,chi2
phn,1572,0.039189895012073,chi2
phn,1950,0.0451747093105558,chi2
phn,1973,0.0482861076766817,chi2
bbd,40,0.05452906813150386,insig
bbd,6577,0.15041931419641394,insig
bbd,34442,0.07416923979737212,insig
bbd,34807,0.062449230493884185,insig
phn,424,0.151493992404216,insig
phn,469,0.4691426421619107,insig
phn,726,0.05631022234951294,insig
phn,1037,0.7710840634043519,insig
phn,1133,0.29184054514378543,insig
bbd,26684,,specification
bbd,31326,0.0009208094290650077,specification
bbd,31616,,specification
phn,2437,,specification
bbd,35024,,non-replicable
phn,268,,non-replicable
phn,941,,non-replicable
phn,1286,,non-replicable
phn,1702,,non-replicable
bbd,1302,0.6405732992791536,reported insig
bbd,34111,,reported insig
bbd,31327,4.549738312163755e-06,self
bbd,34906,,self
bbd,35747,,self
phn,432,,self
phn,613,,self
phn,1047,,self
phn,1201,,self
phn,2293,,self
phn,2405,,self
phn,2745,,self
