tt,ID,journal,IF,year,geo,h_index,citation,wcitation,plum1,plum2,plum3,study_design,type_random,concealment,blinding,topic,power_just,pval_rep,outcome,statistician,funding
bbd,73233,Journal of Urology,5.157,2013,Egypt,5.0,17.0,1.04,27.0,61.0,1.0,RCT,Simple,Yes,Yes,Nocturnal Enuresis,No,0.002,Primary,No,Yes
bbd,35727,Journal of pediatric urology,1.736,2010,Iran,9.0,5.0,0.45,82.0,42.0,0.0,RCT,Not Stated,Not specified,Not specified,Nocturnal Enuresis,No,0.01,Secondary,No,No
bbd,34442,Journal of Urology,5.157,2003,Italy,26.0,42.0,2.59,14.0,20.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.006,Primary,No,No
bbd,70209,Korean Journal of Urology,0.152,2013,Saudi Arabia,5.0,18.0,0.91,27.0,20.0,0.0,RCT,electronic,Yes,No,Nocturnal Enuresis,Yes,0.019,Secondary,No,No
bbd,33903,Archives of disease in childhood,3.258,1982,Israel,2.0,31.0,0.0,9.0,1.0,0.0,RCT,Simple,Yes,No,Nocturnal Enuresis,No,0.03,Primary,No,No
bbd,26684,Al-Kindy College Medical Journal,0.912,2016,Iraq,1.0,0.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.002,Primary,No,No
bbd,43715,BJU international,4.524,2009,Austria,28.0,32.0,1.54,470.0,45.0,0.0,Other,NA,NA,NA,OAB,No,0.001,Secondary,No,No
bbd,943,Lasers in medical science,1.949,2017,Egypt,4.0,1.0,0.28,153.0,49.0,7.0,RCT,Simple,Yes,No,Nocturnal Enuresis,No,0.002,Primary,No,No
bbd,69,International Braz J Urol,1.046,2018,Turkey,6.0,3.0,1.46,307.0,9.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.01,Primary,No,No
bbd,66637,ISRN Urology,0.387,2012,Turkey,7.0,0.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.003,Primary,No,No
bbd,31616,Pediatrics,5.417,2008,USA,24.0,59.0,2.6,2338.0,189.0,0.0,RCT,Blocked,Yes,Yes,Nocturnal Enuresis,Yes,0.05,Primary,Yes,Yes
bbd,31578,Saudi medical journal,0.588,2008,Iran,4.0,2.0,0.0,0.0,6.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.05,Primary,No,No
bbd,30616,Acta Pædiatrica,2.265,2006,Belgium,17.0,44.0,1.03,943.0,103.0,0.0,Other,NA,NA,NA,Incontinence,No,0.05,Primary,No,Yes
bbd,823,"Archivio italiano di urologia, andrologia",0.23,2016,Turkey,3.0,1.0,0.14,12.0,11.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.0009,Primary,No,No
bbd,30695,Renal Failure,1.92,2007,Turkey,18.0,8.0,0.53,109.0,4.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.002,Primary,No,No
bbd,34020,Amer J Clin Hypn,1.179,1991,India,1.0,47.0,0.0,178.0,21.0,1.0,RCT,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,35591,Pediatrics,5.417,2009,USA,15.0,51.0,2.34,1116.0,195.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,9830,Pediatrics,5.417,2006,USA,15.0,18.0,1.2,1495.0,129.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,30643,BJU international,4.524,2006,Brazil,17.0,8.0,0.0,310.0,50.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Primary,No,No
bbd,45362,Journal of Urology,5.157,2013,Brazil,17.0,21.0,1.43,100.0,162.0,3.0,Other,NA,NA,NA,OAB,No,0.02,Primary,No,No
bbd,34126,ChildPsychol. Psychi,6.129,1995,USA,152.0,44.0,0.0,587.0,69.0,0.0,Other,NA,NA,NA,Incontinence,No,0.01,Primary,No,No
bbd,33896,Behaviour research and therapy,4.134,1982,Australia,4.0,19.0,0.0,114.0,49.0,0.0,RCT,Not Stated,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,762,Journal of Urology,5.157,2017,Denmark,4.0,6.0,1.31,22.0,63.0,7.0,RCT,electronic,Yes,Yes,Incontinence,Yes,0.05,Primary,No,No
bbd,34137,Acta Pædiatrica,2.265,1995,England,6.0,62.0,0.0,0.0,5.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.005,Primary,No,No
bbd,35048,Turkish Journal of Medical Sciences,0.641,2014,Turkey,8.0,1.0,0.0,601.0,19.0,0.0,Other,NA,NA,NA,Dysfunctional voiding,No,0.01,Primary,No,No
bbd,65819,Australian & New Zealand Continence Journal,0.421,2009,Australia,19.0,0.0,0.0,0.0,0.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.01,Primary,No,No
bbd,35002,Journal of pediatric urology,1.736,2013,Greece,13.0,6.0,0.46,19.0,21.0,0.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.05,Secondary,No,No
bbd,24838,Journal of pediatric urology,1.736,2016,Brazil,3.0,3.0,0.51,40.0,42.0,2.0,Other,NA,NA,NA,Nocturnal Enuresis,No,0.001,Primary,No,No
bbd,35024,Journal of Urology,5.157,2013,Brazil,7.0,19.0,0.91,51.0,93.0,1.0,RCT,electronic,Yes,No,Nocturnal Enuresis,No,0.03,Primary,No,Yes
bbd,674,Journal of pediatric urology,1.736,2017,Brazil,7.0,3.0,0.8,33.0,75.0,10.0,RCT,electronic,Yes,Yes,OAB,No,0.03,Primary,No,No
bbd,1302,Neurourology and Urodynamics,2.36,2019,Brazil,0.0,0.0,0.0,0.0,29.0,1.0,RCT,Simple,NA,NA,Dysfunctional voiding,No,0.483,Primary,Yes,No
