test,swap,msr,tt,n,mean,se,min,l25,median,l75,max
chi2,1,FI,bbd,113,14.300884955752212,47.43771949991607,1.0,3.0,6.0,13.0,501.0
chi2,1,FI,neg,43,-5.395348837209302,3.9529346234563563,-17.0,-7.0,-5.0,-3.0,-1.0
chi2,1,FI,phn,112,10.339285714285714,17.200750859070954,1.0,2.0,4.0,11.0,113.0
chi2,1,FQ,bbd,113,0.08121350974548762,0.0750209510076833,0.002196595277320154,0.03067484662576687,0.06333333333333334,0.1,0.4722222222222222
chi2,1,FQ,neg,43,-0.09356123389985242,0.05662283557976231,-0.1875,-0.1344169246646027,-0.09615384615384616,-0.03716153127917834,-0.008771929824561403
chi2,1,FQ,phn,112,0.05881902413406831,0.0598292083628817,0.0005976690905468672,0.01673421141506248,0.035268056352393704,0.07604895104895106,0.26
chi2,2,FI,bbd,113,17.761061946902654,60.518632658563924,1.0,3.0,5.0,11.0,501.0
chi2,2,FI,neg,43,-5.395348837209302,3.9529346234563563,-17.0,-7.0,-5.0,-3.0,-1.0
chi2,2,FI,phn,112,17.357142857142858,75.7067430253801,1.0,2.0,4.0,12.0,770.0
chi2,2,FQ,bbd,113,0.07453037900333732,0.06505756056798973,0.0033003300330033004,0.02576489533011272,0.05714285714285714,0.1,0.33003300330033003
chi2,2,FQ,neg,43,-0.09356123389985242,0.05662283557976231,-0.1875,-0.1344169246646027,-0.09615384615384616,-0.03716153127917834,-0.008771929824561403
chi2,2,FQ,phn,112,0.06268209598508216,0.07698165419032608,0.0027247956403269754,0.015009538772303894,0.03455687830687831,0.07916527266644363,0.5365853658536586
chi2_cont,1,FI,bbd,105,14.095238095238095,49.07618171497872,1.0,3.0,6.0,12.0,500.0
chi2_cont,1,FI,neg,45,-6.4222222222222225,4.098164161542274,-19.0,-8.0,-6.0,-4.0,-1.0
chi2_cont,1,FI,phn,92,11.152173913043478,18.20996876041077,1.0,1.0,4.0,13.0,112.0
chi2_cont,1,FQ,bbd,105,0.07112630419900659,0.06745352040886554,0.002196595277320154,0.025974025974025976,0.05555555555555555,0.08609271523178808,0.4305555555555556
chi2_cont,1,FQ,neg,45,-0.11519684820458988,0.07026261771072495,-0.25,-0.15789473684210525,-0.11538461538461539,-0.04285714285714286,-0.010869565217391304
chi2_cont,1,FQ,phn,92,0.05433098898303131,0.05534225309075067,0.0005834388741052752,0.014635117357889634,0.03125,0.08405172413793104,0.24
chi2_cont,2,FI,bbd,105,17.885714285714286,62.37160878490775,1.0,2.0,5.0,10.0,500.0
chi2_cont,2,FI,neg,45,-6.4222222222222225,4.098164161542274,-19.0,-8.0,-6.0,-4.0,-1.0
chi2_cont,2,FI,phn,92,19.66304347826087,82.29366834681821,1.0,2.0,4.0,12.25,760.0
chi2_cont,2,FQ,bbd,105,0.06703334127129044,0.06310079412817665,0.003663003663003663,0.02127659574468085,0.04477611940298507,0.09454545454545454,0.32673267326732675
chi2_cont,2,FQ,neg,45,-0.11519684820458988,0.07026261771072495,-0.25,-0.15789473684210525,-0.11538461538461539,-0.04285714285714286,-0.010869565217391304
chi2_cont,2,FQ,phn,92,0.059013454093251545,0.06969348461211392,0.001736111111111111,0.012707300165306884,0.03401682439537329,0.08655298263277121,0.4634146341463415
fisher,1,FI,bbd,106,14.443396226415095,48.867182519595026,1.0,3.0,6.0,12.0,500.0
fisher,1,FI,neg,45,-5.911111111111111,3.918616535916158,-18.0,-8.0,-5.0,-3.0,-1.0
fisher,1,FI,phn,100,10.73,17.74445709442128,1.0,2.0,4.0,11.25,112.0
fisher,1,FQ,bbd,106,0.07605971069569376,0.07105776861939328,0.002196595277320154,0.027042253521126762,0.05823656380759445,0.0920446695832374,0.4444444444444444
fisher,1,FQ,neg,45,-0.10656039355058723,0.06814254216892149,-0.25,-0.15,-0.10416666666666667,-0.03636363636363636,-0.008771929824561403
fisher,1,FQ,phn,100,0.05571624620313467,0.058135891456561506,0.0005976690905468672,0.01476180226718324,0.03149801587301587,0.07241014799154334,0.24
fisher,2,FI,bbd,106,18.17924528301887,62.28227557542795,1.0,2.0,5.0,11.0,500.0
fisher,2,FI,neg,45,-5.911111111111111,3.918616535916158,-18.0,-8.0,-5.0,-3.0,-1.0
fisher,2,FI,phn,100,18.53,79.3331366180398,1.0,1.0,3.5,12.25,763.0
fisher,2,FQ,bbd,106,0.07057523313136783,0.0648340356121497,0.003663003663003663,0.02375727974887448,0.04906568840995071,0.10174977566978592,0.3292079207920792
fisher,2,FQ,neg,45,-0.10656039355058723,0.06814254216892149,-0.25,-0.15,-0.10416666666666667,-0.03636363636363636,-0.008771929824561403
fisher,2,FQ,phn,100,0.06031442480543152,0.0755806849219304,0.001736111111111111,0.01244727672840638,0.03200204813108039,0.0789287733182589,0.5121951219512195
