feature,tt,metric,variable,stat,pval,fdr
num,bbd,IF,FI,-0.14271374150553495,0.11089938858089006,0.394308937176498
num,bbd,IF,FQ,-0.18307486386363828,0.04017885494527575,0.18367476546411773
num,bbd,citation,FI,-0.0004951297382637432,0.9956097205330974,0.9956097205330974
num,bbd,citation,FQ,0.030241256644556153,0.7367569523944878,0.8604418750236739
num,bbd,h_index,FI,0.1867739736208576,0.03625082687351574,0.18367476546411773
num,bbd,h_index,FQ,0.06950388164246656,0.43932144827000974,0.739909807612648
num,bbd,plum1,FI,0.09831567385190616,0.27340802155990396,0.5746699862086948
num,bbd,plum1,FQ,0.036572790919430435,0.684321472205043,0.8422418119446683
num,bbd,plum2,FI,0.04476614813373749,0.6186670251042076,0.8248893668056101
num,bbd,plum2,FQ,0.06259386013655731,0.48624401236125203,0.7579891704877375
num,bbd,wcitation,FI,0.010906780756238865,0.9035233075975881,0.9637581947707606
num,bbd,wcitation,FQ,-0.012860843128399408,0.8863456531312919,0.9637581947707606
num,neg,IF,FI,0.3224004769549105,0.030779689453041804,0.9849500624973377
num,neg,IF,FQ,0.009258598428405145,0.9518672743543319,0.9888709214682165
num,neg,citation,FI,-0.19771422683148268,0.1929574335438863,0.9888709214682165
num,neg,citation,FQ,-0.06145326685669028,0.6884054600920457,0.9888709214682165
num,neg,h_index,FI,-0.125258395201769,0.4178546321553016,0.9888709214682165
num,neg,h_index,FQ,-0.17499304185210623,0.255894109229019,0.9888709214682165
num,neg,plum1,FI,0.11780691124281115,0.44087057424016673,0.9888709214682165
num,neg,plum1,FQ,-0.057708791013775886,0.7065134598868872,0.9888709214682165
num,neg,plum2,FI,0.07316967722983342,0.6410057283647814,0.9888709214682165
num,neg,plum2,FQ,0.041121797767390465,0.7934614118246641,0.9888709214682165
num,neg,wcitation,FI,-0.26501454322255025,0.11827666529053373,0.9888709214682165
num,neg,wcitation,FQ,-0.21268104324719805,0.21300026059030105,0.9888709214682165
num,phn,IF,FI,-0.07581589778408668,0.3931318255893018,0.9007537488663818
num,phn,IF,FQ,0.011802236930346023,0.8943930584643714,0.9007537488663818
num,phn,citation,FI,-0.016125993598781748,0.8560652841386808,0.9007537488663818
num,phn,citation,FQ,0.09410509364309957,0.28878936815368855,0.9007537488663818
num,phn,h_index,FI,-0.12195552761281353,0.16857056909533183,0.7304724660797712
num,phn,h_index,FQ,-0.04538792671769384,0.609523705649258,0.9007537488663818
cat,bbd,blinding,FI,15.100572538267869,0.001732688818986783,0.013861510551894263
cat,bbd,blinding,FQ,3.991652555846913,0.26236691502995013,0.5746699862086948
cat,bbd,concealment,FI,18.609614391013906,0.00032921252112441343,0.005267400337990615
cat,bbd,concealment,FQ,7.604387456511055,0.054936092120994574,0.2197443684839783
cat,bbd,funding,FI,0.002075048151200594,0.9636667727899374,0.9947527977186451
cat,bbd,funding,FQ,1.910072202844125,0.16695523847209304,0.48568796646427065
cat,bbd,geo,FI,33.088038594243685,0.2742022513977237,0.5746699862086948
cat,bbd,geo,FQ,28.188760082744874,0.5078380875970847,0.7579891704877375
cat,bbd,journal,FI,52.415970496690434,0.5739638421769984,0.7985583891158238
cat,bbd,journal,FQ,50.426452203686324,0.6497742813779624,0.8317110801637919
cat,bbd,outcome,FI,1.1320664366624411,0.2873349931043474,0.5746699862086948
cat,bbd,outcome,FQ,0.41168094519184406,0.5211175547103195,0.7579891704877375
cat,bbd,power_just,FI,1.2782600059564273,0.2582228085640313,0.5746699862086948
cat,bbd,power_just,FQ,0.09912132208461116,0.7528866406457146,0.8604418750236739
cat,bbd,statistician,FI,2.311634012625968,0.12840899983144696,0.4109087994606303
cat,bbd,statistician,FQ,4.8958537480719375,0.026921259208297264,0.17229605893310249
cat,bbd,study_design,FI,14.422312644714479,0.00014606141979791465,0.004673965433533269
cat,bbd,study_design,FQ,0.6775620237014994,0.4104274986756792,0.7296488865345407
cat,bbd,type_random,FI,18.55437213939081,0.0009612658236285566,0.010253502118704605
cat,bbd,type_random,FQ,4.5427501605553475,0.33750847093654074,0.6353100629393708
cat,neg,blinding,FI,0.0008150865103214048,0.9772237133706617,0.9888709214682165
cat,neg,blinding,FQ,0.20615990570527132,0.6497940259519128,0.9888709214682165
cat,neg,concealment,FI,0.012072595627120512,0.9125082208591505,0.9888709214682165
cat,neg,concealment,FQ,0.5434614407138321,0.4610017229093005,0.9888709214682165
cat,neg,funding,FI,0.07545372266945286,0.783555636135647,0.9888709214682165
cat,neg,funding,FQ,0.008283210497070042,0.92748294097115,0.9888709214682165
cat,neg,geo,FI,14.648135092649913,0.6859687722066681,0.9888709214682165
cat,neg,geo,FQ,17.344852957325784,0.499527646068615,0.9888709214682165
cat,neg,journal,FI,18.7496419034265,0.2818594871517702,0.9888709214682165
cat,neg,journal,FQ,15.444817655531253,0.492332115220082,0.9888709214682165
cat,neg,outcome,FI,1.394714904968319,0.2376104760290054,0.9888709214682165
cat,neg,outcome,FQ,0.005218422613158675,0.9424119869259323,0.9888709214682165
cat,neg,power_just,FI,0.0020959367408141384,0.9634844825664244,0.9888709214682165
cat,neg,power_just,FQ,0.29819557789511847,0.5850158488059574,0.9888709214682165
cat,neg,statistician,FI,0.14532893078180073,0.7030397739277998,0.9888709214682165
cat,neg,statistician,FQ,0.009943640650084701,0.920568364588402,0.9888709214682165
cat,neg,study_design,FI,0.012072595627120512,0.9125082208591505,0.9888709214682165
cat,neg,study_design,FQ,0.5434614407138321,0.4610017229093005,0.9888709214682165
cat,neg,type_random,FI,0.2396354340335723,0.8870821219560218,0.9888709214682165
cat,neg,type_random,FQ,0.022382940129984995,0.9888709214682165,0.9888709214682165
cat,phn,blinding,FI,0.7772255532966863,0.6779967553664878,0.9007537488663818
cat,phn,blinding,FQ,0.6513423524033946,0.7220425731819847,0.9007537488663818
cat,phn,concealment,FI,1.9803289646537692,0.15935575532368232,0.7304724660797712
cat,phn,concealment,FQ,0.06302379168486011,0.8017790105285045,0.9007537488663818
cat,phn,funding,FI,0.09167905094504576,0.7620533445087918,0.9007537488663818
cat,phn,funding,FQ,0.2589575415918637,0.6108372437786258,0.9007537488663818
cat,phn,geo,FI,20.85482895527939,0.7006759038265915,0.9007537488663818
cat,phn,geo,FQ,18.754062956603576,0.8087576572041018,0.9007537488663818
cat,phn,journal,FI,26.83625884998069,0.680373065776515,0.9007537488663818
cat,phn,journal,FQ,31.615178824952714,0.43554546510869707,0.9007537488663818
cat,phn,outcome,FI,2.0231181584446607,0.15492072972319684,0.7304724660797712
cat,phn,outcome,FQ,3.4073075461999185,0.06490827123870975,0.7304724660797712
cat,phn,power_just,FI,0.41443869824622126,0.5197251516511697,0.9007537488663818
cat,phn,power_just,FQ,0.16959631185446328,0.680470827530482,0.9007537488663818
cat,phn,statistician,FI,0.015552392394378237,0.9007537488663818,0.9007537488663818
